dirname,filename,molecule_name,distance,fci_energy,1st_excited_energy,nfev,qc_energy_0,qc_energy_1,time_elapsed
BeH2_sto-3g,BeH2_sto-3g_singlet_0.50.hdf5,BeH2,0.5,-13.68996031,-13.38004294,1839,-13.53391659,-12.84138547,2254.078131
BeH2_sto-3g,BeH2_sto-3g_singlet_0.60.hdf5,BeH2,0.6,-14.40564902,-14.09545989,1471,-14.36243513,-13.83344376,1801.77082
BeH2_sto-3g,BeH2_sto-3g_singlet_0.70.hdf5,BeH2,0.7,-14.87132975,-14.5599226,552,-14.81895485,-14.21015792,678.3337862
BeH2_sto-3g,BeH2_sto-3g_singlet_0.80.hdf5,BeH2,0.8,-15.17280541,-14.86149024,368,-15.08711949,-14.4758943,453.1843867
BeH2_sto-3g,BeH2_sto-3g_singlet_0.90.hdf5,BeH2,0.9,-15.36415094,-15.05575319,736,-15.17926625,-14.81020907,903.9442761
BeH2_sto-3g,BeH2_sto-3g_singlet_1.00.hdf5,BeH2,1,-15.48174107,-15.17933966,552,-15.2751885,-14.75341481,680.1212916
BeH2_sto-3g,BeH2_sto-3g_singlet_1.10.hdf5,BeH2,1.1,-15.54963817,-15.25593371,3493,-15.51685233,-15.13239303,4286.012666
BeH2_sto-3g,BeH2_sto-3g_singlet_1.20.hdf5,BeH2,1.2,-15.58381205,-15.30096555,3125,-15.55641429,-15.15810279,3838.688477
BeH2_sto-3g,BeH2_sto-3g_singlet_1.30.hdf5,BeH2,1.3,-15.59504708,-15.32472296,3861,-15.56283134,-15.21163483,4741.104206
BeH2_sto-3g,BeH2_sto-3g_singlet_1.40.hdf5,BeH2,1.4,-15.59074335,-15.33421034,368,-15.49385669,-15.20438772,453.414289
BeH2_sto-3g,BeH2_sto-3g_singlet_1.50.hdf5,BeH2,1.5,-15.57605125,-15.33426904,552,-15.53723064,-15.23592907,678.4253654
BeH2_sto-3g,BeH2_sto-3g_singlet_1.60.hdf5,BeH2,1.6,-15.55462369,-15.32829086,736,-15.49076204,-15.18149702,904.1080773
BeH2_sto-3g,BeH2_sto-3g_singlet_1.70.hdf5,BeH2,1.7,-15.52912134,-15.31868651,368,-15.39677644,-15.07554419,453.0541391
BeH2_sto-3g,BeH2_sto-3g_singlet_1.80.hdf5,BeH2,1.8,-15.50154509,-15.30719007,4228,-15.32891337,-14.98417369,5192.340542
BeH2_sto-3g,BeH2_sto-3g_singlet_1.90.hdf5,BeH2,1.9,-15.47345142,-15.29505097,184,-15.1974986,-14.91478355,227.5051277
BeH2_sto-3g,BeH2_sto-3g_singlet_2.00.hdf5,BeH2,2,-15.44609374,-15.28315269,2941,-15.28217064,-14.98197371,3607.302346
H2O_sto-3g,H2O_sto-3g_singlet_0.50_104.5deg_0.50.hdf5,H2O,0.5,-73.13764403,-72.08571795,2794,-73.12669002,-71.96681701,3167.130987
