dirname,filename,molecule_name,distance,fci_energy,1st_excited_energy,bond_length_opt,fci_energy_lowest,qc_energy,nfev
BeH2_sto-3g,BeH2_sto-3g_singlet_0.50.hdf5,BeH2,0.5,-13.68996031,-13.38004294,1.3165,-15.59524675,-13.68935068,1564
BeH2_sto-3g,BeH2_sto-3g_singlet_0.60.hdf5,BeH2,0.6,-14.40564902,-14.09545989,1.3165,-15.59524675,-14.40517821,1748
BeH2_sto-3g,BeH2_sto-3g_singlet_0.70.hdf5,BeH2,0.7,-14.87132975,-14.5599226,1.3165,-15.59524675,-14.87096002,1840
BeH2_sto-3g,BeH2_sto-3g_singlet_0.80.hdf5,BeH2,0.8,-15.17280541,-14.86149024,1.3165,-15.59524675,-15.17248909,1472
BeH2_sto-3g,BeH2_sto-3g_singlet_0.90.hdf5,BeH2,0.9,-15.36415094,-15.05575319,1.3165,-15.59524675,-15.36387117,1564
BeH2_sto-3g,BeH2_sto-3g_singlet_1.00.hdf5,BeH2,1,-15.48174107,-15.17933966,1.3165,-15.59524675,-15.48147542,1656
BeH2_sto-3g,BeH2_sto-3g_singlet_1.10.hdf5,BeH2,1.1,-15.54963817,-15.25593371,1.3165,-15.59524675,-15.54932177,1380
BeH2_sto-3g,BeH2_sto-3g_singlet_1.20.hdf5,BeH2,1.2,-15.58381205,-15.30096555,1.3165,-15.59524675,-15.58350586,1656
BeH2_sto-3g,BeH2_sto-3g_singlet_1.30.hdf5,BeH2,1.3,-15.59504708,-15.32472296,1.3165,-15.59524675,-15.59468544,1656
BeH2_sto-3g,BeH2_sto-3g_singlet_1.3165.hdf5,BeH2,1.3165,-15.59524675,-15.32711991,1.3165,-15.59524675,-15.59487273,1656
BeH2_sto-3g,BeH2_sto-3g_singlet_1.40.hdf5,BeH2,1.4,-15.59074335,-15.33421034,1.3165,-15.59524675,-15.59028882,1656
BeH2_sto-3g,BeH2_sto-3g_singlet_1.50.hdf5,BeH2,1.5,-15.57605125,-15.33426904,1.3165,-15.59524675,-15.57547412,1656
BeH2_sto-3g,BeH2_sto-3g_singlet_1.60.hdf5,BeH2,1.6,-15.55462369,-15.32829086,1.3165,-15.59524675,-15.55385628,1564
BeH2_sto-3g,BeH2_sto-3g_singlet_1.70.hdf5,BeH2,1.7,-15.52912134,-15.31868651,1.3165,-15.59524675,-15.52807559,1840
BeH2_sto-3g,BeH2_sto-3g_singlet_1.80.hdf5,BeH2,1.8,-15.50154509,-15.30719007,1.3165,-15.59524675,-15.50009066,1840
BeH2_sto-3g,BeH2_sto-3g_singlet_1.90.hdf5,BeH2,1.9,-15.47345142,-15.29505097,1.3165,-15.59524675,-15.47140208,1840
BeH2_sto-3g,BeH2_sto-3g_singlet_2.00.hdf5,BeH2,2,-15.44609374,-15.28315269,1.3165,-15.59524675,-15.44319448,1932
H2O_sto-3g,H2O_sto-3g_singlet_0.50_104.5deg_0.50.hdf5,H2O,0.5,-73.13764403,-72.08571795,1.0236,-75.02082443,-73.13750517,804
H2O_sto-3g,H2O_sto-3g_singlet_0.60_104.5deg_0.60.hdf5,H2O,0.6,-74.14620411,-73.2050368,1.0236,-75.02082443,-74.14610832,1340
H2O_sto-3g,H2O_sto-3g_singlet_0.70_104.5deg_0.70.hdf5,H2O,0.7,-74.64369313,-73.84558969,1.0236,-75.02082443,-74.64352671,1474
H2O_sto-3g,H2O_sto-3g_singlet_0.80_104.5deg_0.80.hdf5,H2O,0.8,-74.8830018,-74.22946822,1.0236,-75.02082443,-74.88287788,1273
H2O_sto-3g,H2O_sto-3g_singlet_0.90_104.5deg_0.90.hdf5,H2O,0.9,-74.9876927,-74.46399291,1.0236,-75.02082443,-74.98755032,1273
H2O_sto-3g,H2O_sto-3g_singlet_1.00_104.5deg_1.00.hdf5,H2O,1,-75.0198548,-74.60616319,1.0236,-75.02082443,-75.01964687,1474
H2O_sto-3g,H2O_sto-3g_singlet_1.0236_104.5deg_1.0236.hdf5,H2O,1.0236,-75.02082443,-74.63016356,1.0236,-75.02082443,-75.0206442,1608
H2O_sto-3g,H2O_sto-3g_singlet_1.10_104.5deg_1.10.hdf5,H2O,1.1,-75.01262458,-74.68927536,1.0236,-75.02082443,-75.01233987,1340
H2O_sto-3g,H2O_sto-3g_singlet_1.20_104.5deg_1.20.hdf5,H2O,1.2,-74.98512633,-74.73466682,1.0236,-75.02082443,-74.98477563,1340
H2O_sto-3g,H2O_sto-3g_singlet_1.30_104.5deg_1.30.hdf5,H2O,1.3,-74.94877911,-74.75659432,1.0236,-75.02082443,-74.94833019,1541
H2O_sto-3g,H2O_sto-3g_singlet_1.40_104.5deg_1.40.hdf5,H2O,1.4,-74.9102714,-74.76452629,1.0236,-75.02082443,-74.90991839,1608
H2O_sto-3g,H2O_sto-3g_singlet_1.50_104.5deg_1.50.hdf5,H2O,1.5,-74.87343609,-74.76464804,1.0236,-75.02082443,-74.87319047,1809
H2O_sto-3g,H2O_sto-3g_singlet_1.60_104.5deg_1.60.hdf5,H2O,1.6,-74.8404952,-74.76096522,1.0236,-75.02082443,-74.84026044,1809
H2O_sto-3g,H2O_sto-3g_singlet_1.70_104.5deg_1.70.hdf5,H2O,1.7,-74.81270554,-74.75600902,1.0236,-75.02082443,-74.8125005,1809
H2O_sto-3g,H2O_sto-3g_singlet_1.80_104.5deg_1.80.hdf5,H2O,1.8,-74.79057115,-74.75123581,1.0236,-75.02082443,-74.79027829,2144
H2O_sto-3g,H2O_sto-3g_singlet_1.90_104.5deg_1.90.hdf5,H2O,1.9,-74.773909,-74.74730379,1.0236,-75.02082443,-74.77319211,2278
H2O_sto-3g,H2O_sto-3g_singlet_2.00_104.5deg_2.00.hdf5,H2O,2,-74.76198843,-74.74434597,1.0236,-75.02082443,-74.76048052,2546
H2_line_sto-3g,H2_line_sto-3g_singlet_0.50.hdf5,H2line,0.5,-1.055159794,0.267000341,0.7349,-1.13730605,-1.055159794,20
H2_line_sto-3g,H2_line_sto-3g_singlet_0.60.hdf5,H2line,0.6,-1.116286007,0.036501195,0.7349,-1.13730605,-1.116286007,20
H2_line_sto-3g,H2_line_sto-3g_singlet_0.70.hdf5,H2line,0.7,-1.136189454,-0.120451904,0.7349,-1.13730605,-1.136189454,20
H2_line_sto-3g,H2_line_sto-3g_singlet_0.7349.hdf5,H2line,0.7349,-1.13730605,-0.162640089,0.7349,-1.13730605,-1.13730605,20
H2_line_sto-3g,H2_line_sto-3g_singlet_0.80.hdf5,H2line,0.8,-1.134147667,-0.227924235,0.7349,-1.13730605,-1.134147667,20
H2_line_sto-3g,H2_line_sto-3g_singlet_0.90.hdf5,H2line,0.9,-1.120560281,-0.301706005,0.7349,-1.13730605,-1.120560281,20
